item_id,category,qty,reference,part,package_footprint,preferred_example,function,required_for_first_build,notes
PWR-006,Power,1,U9,3.3 V regulator,TO-92 or TO-220 or SOT-223 adapter,MCP1700-3302 or LM1117-3.3,Only needed for 3.3 V MCU,no,Avoid by choosing 5 V MCU
PASS-001,Passives,10,R220,220 ohm resistors,Axial 1/4W,220 ohm 1/4W,General tuning and protection,no,Assortment item
PASS-002,Passives,10,R470,470 ohm resistors,Axial 1/4W,470 ohm 1/4W,SCAN series resistors and misc,no,Assortment item
PASS-003,Passives,20,R1K,1k resistors,Axial 1/4W,1k 1/4W,Protection and general logic,no,Assortment item
PASS-004,Passives,20,R2K2,2.2k resistors,Axial 1/4W,2.2k 1/4W,Base resistors and misc,no,Assortment item
PASS-005,Passives,30,R4K7,4.7k resistors,Axial 1/4W,4.7k 1/4W,Comparator inputs and pull-ups,yes,Assortment item
PASS-006,Passives,30,R10K,10k resistors,Axial 1/4W,10k 1/4W,Pull-ups pull-downs thresholding,yes,Assortment item
PASS-007,Passives,10,R22K,22k resistors,Axial 1/4W,22k 1/4W,Threshold network tuning,no,Assortment item
PASS-008,Passives,10,R47K,47k resistors,Axial 1/4W,47k 1/4W,Threshold network tuning,no,Assortment item
PASS-009,Passives,10,R100K,100k resistors,Axial 1/4W,100k 1/4W,Timing and bias experiments,no,Assortment item
PASS-010,Passives,10,C100P,100 pF capacitors,Ceramic radial/disc,100 pF ceramic,Timing experiments,no,Assortment item
PASS-011,Passives,10,C470P,470 pF capacitors,Ceramic radial/disc,470 pF ceramic,Timing experiments,no,Assortment item
PASS-012,Passives,10,C1N,1 nF capacitors,Ceramic radial/disc,1 nF ceramic,Timing experiments,no,Assortment item
PASS-013,Passives,10,C4N7,4.7 nF capacitors,Ceramic radial/disc,4.7 nF ceramic,Timing experiments,no,Assortment item
PASS-014,Passives,10,C10N,10 nF capacitors,Ceramic radial/disc,10 nF ceramic,Filtering and timing,no,Assortment item
PASS-015,Passives,10,C1U,1 uF capacitors,Radial electrolytic or film,1 uF capacitor,Timing and local decoupling,no,Assortment item
PASS-016,Passives,10,C10U,10 uF capacitors,Radial electrolytic,10 uF capacitor,Bulk and timing,yes,Assortment item
PASS-017,Passives,10,C47U,47 uF capacitors,Radial electrolytic,47 uF capacitor,Bulk smoothing,yes,Assortment item
DIO-001,Diodes,20,DGEN,1N4148,DO-35,1N4148,General-purpose signal and clamp diodes,yes,"Cheap, versatile, and likely to be used liberally"
DBG-001,Headers,1,J_DBG_SERIAL,Serial/debug header,0.1-inch THT header,1x4 or 1x6 header,Bring-up and firmware logging,yes,
DBG-002,Headers,1,J_DBG_LOGIC,Logic observation header,0.1-inch THT header,1x10 or similar header,Expose SCAN and KS signals,yes,Can also be implemented as individual test posts
DBG-003,Headers,20,TP,Test posts or loops,THT loop post or turret post,Generic test posts,Scope and meter attachment points,yes,More is better on experimental card
WW-001,Wire-wrap supplies,1,WIRE,30 AWG wire-wrap wire,N/A,Kynar 30 AWG wire-wrap wire,Primary wiring medium,yes,Use multiple colors if possible
WW-002,Wire-wrap supplies,1,TOOL,Wire-wrap tool,N/A,Manual or powered wire-wrap tool,Proper wraps on square posts,yes,
WW-003,Wire-wrap supplies,1,SOCKET_SET,Set of wire-wrap DIP sockets,Mixed DIP socket set,Machine-pin wire-wrap sockets,Proper foundation for all DIP ICs,yes,Do not improvise with low-quality stamped sockets
INST-001,Instrumentation,1,SCOPE,Oscilloscope,N/A,Any decent bench scope,Observe SCAN and KS pulse behavior,yes,Not part of card but effectively mandatory
INST-002,Instrumentation,1,DMM,Digital multimeter,N/A,Generic DMM,Continuity and DC verification,yes,
INST-003,Instrumentation,1,PSU,Bench supply with current limit,N/A,Generic bench supply,Safer initial power-up,yes,
INST-004,Instrumentation,1,LA,Logic analyzer,N/A,Optional analyzer,Helpful for firmware and timing debug,no,
